date,open,high,low,close,volume,pct_change
1999-01-25,0.4427,0.4584,0.4102,0.4532,51047998.44,0.1
1999-01-26,0.4584,0.4675,0.4115,0.418,34319998.95,-0.08
1999-01-27,0.4193,0.4298,0.3959,0.4167,24436799.25,-0.0
1999-01-28,0.4167,0.4193,0.4128,0.4154,22751999.31,-0.0
1999-01-29,0.4154,0.4167,0.3959,0.3959,24403199.26,-0.05
1999-02-01,0.3959,0.4063,0.3959,0.4037,15470399.53,0.02
1999-02-02,0.3959,0.4063,0.3607,0.3724,26409599.19,-0.08
1999-02-03,0.3672,0.3854,0.3646,0.3802,7511999.77,0.02
1999-02-04,0.3854,0.4115,0.3802,0.4011,18191999.45,0.05
1999-02-05,0.4076,0.4167,0.3972,0.4128,13684799.58,0.03
1999-02-08,0.4154,0.4167,0.3985,0.3985,15407999.53,-0.03
1999-02-09,0.4063,0.4089,0.3776,0.3828,8697599.73,-0.04
1999-02-10,0.3828,0.3933,0.3724,0.3789,14822399.55,-0.01
1999-02-11,0.3802,0.4272,0.3802,0.4115,13223999.6,0.09
1999-02-12,0.4167,0.4375,0.4167,0.4349,10972799.67,0.06
1999-02-16,0.4427,0.461,0.3933,0.4375,21100799.36,0.01
1999-02-17,0.4272,0.4324,0.4063,0.4141,6772799.79,-0.05
1999-02-18,0.4272,0.4324,0.4089,0.4206,7070399.78,0.02
1999-02-19,0.4167,0.4427,0.4115,0.4349,7535999.77,0.03
1999-02-22,0.4427,0.4479,0.4141,0.4375,20524799.37,0.01
1999-02-23,0.4479,0.4675,0.4219,0.4584,13809599.58,0.05
1999-02-24,0.5261,0.5469,0.4831,0.4948,61276798.13,0.08
1999-02-25,0.5157,0.5313,0.4714,0.4792,14913599.55,-0.03
1999-02-26,0.4845,0.5001,0.4532,0.4571,17260799.47,-0.05
1999-03-01,0.4688,0.4792,0.4375,0.4597,9215999.72,0.01
1999-03-02,0.4584,0.461,0.4479,0.4558,5524799.83,-0.01
1999-03-03,0.4584,0.4584,0.4219,0.4245,6139199.81,-0.07
1999-03-04,0.4454,0.448,0.4115,0.4154,5735999.83,-0.02
1999-03-05,0.4193,0.4401,0.4193,0.4388,7876799.76,0.06
1999-03-08,0.4271,0.4584,0.4193,0.4453,7588799.77,0.01
1999-03-09,0.444,0.4662,0.444,0.4597,14318399.56,0.03
1999-03-10,0.4649,0.4662,0.4453,0.4518,23534399.28,-0.02
1999-03-11,0.444,0.4518,0.4323,0.4323,5428799.83,-0.04
1999-03-12,0.4349,0.4349,0.4167,0.4245,9076799.72,-0.02
1999-03-15,0.4349,0.4479,0.4323,0.4427,10881599.67,0.04
1999-03-16,0.4453,0.4505,0.4245,0.4284,7915199.76,-0.03
1999-03-17,0.4323,0.4401,0.4206,0.431,5135999.84,0.01
1999-03-18,0.4323,0.4427,0.4219,0.4362,4631999.86,0.01
1999-03-19,0.4349,0.4505,0.4349,0.4375,10531199.68,0.0
1999-03-22,0.4466,0.4479,0.4245,0.4245,3667199.89,-0.03
